Metal,M9 cells Free [Metal] (M) [2],LB cells Free [Metal] (M) [3],M9 [Metal] buffered (M) [11],M9 [Metal] buffered STD (M) [11],Glutathione,Cysteine,Histidine,GSSG,Asp,Methionine,Alanine,Leucine,Valine,Glycine,Tryptophan,ATP,Citrate
Mg(II),0.0027 [23],1E-3 [24],"2.98E-2 [23], [22]",2.29E-3 [23],,"2.75 [25], [26]",,,"2.4 [25], [26]",,"1.96 [25], [26]",,,"1.66 [25], [26]",,"4.03 [25], [26]","3.44 [25], [26]"
Mn (II),2.08E-06,7.00E-06,1.40E-06,7.00E-07,2.7 [1],"4.75 [25], [26]","3.24 [25], [26]",,3.91 [13],"2.77 [25], [26]","2.43 [25], [26]","2.3 [25], [26], [5]",2.84 [5],"2.27 [25], [26]","2.54 [25], [26]","4.79 [25], [26], [9]","3.79 [25], [26], [7]"
Fe (II),6.18E-08,1.90E-06,8.00E-05,2.00E-05,"5.1 [25], [26], [1]",6.2 [1],5.883093359 [6],,"4.34 [25], [26]","3.24 [25], [26]","3.54 [25], [26]","3.42 [25], [26]",6.8 ML2 [ 15],,,5.18 [10],4.56 [17]
Co (II),2.42E-10,7.00E-11,,,,"8.14 [25], [26]","6.7 [25], [26]",,"5.9 [25], [26]","4.17 [25], [26]","4.32 [25], [26], [5]",4.49 [5],8.24 ML2 [15],"4.64 [25], [26]","4.47 [25], [26], [5]","4.6 [25], [26]","4.9 [25], [26], [7]"
Ni (II),2.56E-12,1.30E-13,1.50E-05,2.00E-06,"7.37 [25], [26]","9.6 [25], [26]","8.43 [25], [26], [4]","9.08 [4], [16]","7.16 [25], [26], [4]","5.27 [25], [26]","5.2 [25], [26]","5.33 [25], [26]",,"5.59 [25], [26]","5.35 [25], [26]","4.86 [25], [26], [4]","5.3 [25], [26], [7]"
Cu (I),1.46E-20,4.50E-20,1.00E-05,2.00E-06,11.6 [21],11.1 [21],"9.82 [25], [26]","13.37 [25], [26]","8.75 [25], [26], [13]","7.68 [25], [26], [5]","7.95 [25], [26], [5]","7.00 [5], 15.174 [14]","7.97 [25], [26], [5]","7.99 [25], [26], [5]","8.01 [25], [26], [5]","6.34 [25], [26]","8.22 [25], [26]"
Zn (II),1.04E-11,9.40E-12,1.30E-05,3.00E-06,"7.98 [25], [26]","9.11 [25], [26]","6.35  [25], [26]",7.60 [16],"5.82 [25], [26], [13]","4.3 [25], [26], [5]",5.16 [5],4.92 [5],"4.51 [25], [26], [5]","4.87 [25], [26], [5]","4.54 [25], [26], [5]","5.16 [25], [26]","4.64 [25], [26],[18]"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
[1] Hider et al 2011 Biometals,,,,,,,,,,,,,,,,,
[2] Clough et al 2025 Biorxiv,,,,,,,,,,,,,,,,,
"[3] Metalation calculators for E. coli strain JM109 (DE3): Aerobic, anaerobic and hydrogen peroxide exposed cells cultured in LB media",,,,,,,,,,,,,,,,,
[4] Direct Detection of the Labile Nickel Pool in Escherichia coli: New Perspectives on Labile Metal Pools,,,,,,,,,,,,,,,,,
